title,author,upvotes,combined_polarity,topics
The Dark Side of Bangladesh’s New Year Celebrations: Chhatra League’s Legacy of Sexual Harassment,MunzerTopu,275,0.006628787878787873,"Education, Travel/Tourism, Sports, Technology"
"Jatrabari Massacre, 5 August, 2024. ",Environmental-Ad-344,194,-0.125,Other
⚠️ Top-listed criminal shot dead in broad daylight,AtikulIslam4142,185,-0.1549768518518519,"Education, Relationships, Health/Medical, Food/Restaurants, Politics/Government, Technology, Real Estate, Infrastructure"
I'm a Bangladeshi indie game developer who quit my job to work on my own game. AMA!,Krons-sama,130,-0.11770833333333332,"Education, Career/Jobs, Shopping/Commerce, Food/Restaurants, Sports, Technology, Real Estate"
Kinda proud of this pic I took a couple of days ago,ComfyNeo,81,0.2388888888888889,"Relationships, Technology, Real Estate, Infrastructure"
অবশ্যই এরা ব্রেনওয়াশড সাইকোপ্যাথ,relapse_rif,77,-0.05305989583333334,"Education, Politics/Government, Sports, Technology"
"Desh e thekeo dekhsi, desher baire thekeo dekhsi, I recommend never being born",heavygrin,74,-0.16666666666666666,Technology
He Trusted a Girl Online....Almost Paid With His Life.,ShadowProfiler-I,64,-0.09393939393939395,"Shopping/Commerce, Food/Restaurants, Politics/Government, Technology, Real Estate, Infrastructure"
Horrible experience at Dhaka to Dubai flight with emirates,Former-Type1623,63,-0.5701388888888889,"Travel/Tourism, Technology, Real Estate, Infrastructure"
Earthquake Again?,Due_Fly_6934,63,-0.16666666666666666,Technology
Fb page posting pics of women without consent,jasontoddloverr,57,-0.36666666666666664,Other
"Serial killings on 3 places, pieces packed in carton boxes",VapeyMoron,52,-0.057692307692307696,"Health/Medical, Shopping/Commerce, Food/Restaurants, Technology"
I was in three different rehab mental health facilities including Pabna mental hospital. AMA.,Old_Mechanic9,50,-0.13333333333333333,"Health/Medical, Shopping/Commerce, Real Estate"
My view on Dhaka,Top_Ad1064,50,-0.09829365079365078,"Real Estate, Infrastructure"
Does feminism exist in Jamaat?,fatal-rose-3047,45,-0.060227272727272727,"Education, Career/Jobs, Relationships, Technology, Real Estate, Infrastructure"
Politics and Public universities,serialgooner696,45,-0.0625,"Education, Relationships, Politics/Government, Technology"
got into a harassment for no reason,Beneficial_Mouse_279,41,-0.17083333333333328,Technology
Gym Flings!,Almostfamous_02,41,-0.09226562499999999,Relationships
We have too many road signs placed with malicious intent,TomMarvoloRd,34,0.16966666666666666,"Politics/Government, Technology, Real Estate, Infrastructure"
Dhaka's traffic is getting worse and no one seems to care,StockholmSyndrome_69,25,-0.2683333333333333,"Politics/Government, Real Estate, Infrastructure"
